cohort,method,k,sens_median,sens_p2.5,sens_p97.5,spec_median,spec_p2.5,spec_p97.5,recovery_median,recovery_p2.5,recovery_p97.5,frac_degenerate,frac_fit_failed
sysucc,M2b,10,0.9273235144743525,0.6239176990944162,0.9986033519553073,0.479020979020979,0.045454545454545456,0.8493997668997669,0.037749287749287666,-4.555555555555555,4.096047008547005,0.024,0.072
sysucc,M2b,20,0.9082564695101301,0.7248357791477156,0.9915197300601731,0.549645390070922,0.17482517482517482,0.7824316450303241,0.8461538461538465,-3.1851851851851856,3.307692307692308,0.0,0.014
sysucc,M2b,30,0.9047614717827483,0.755499361502651,0.9814285714285714,0.5612806340072184,0.2822841726618705,0.7617383512544802,1.0,-2.0392692307692304,3.0755698005697996,0.0,0.006
sysucc,M2b,50,0.9127905134331764,0.7993766123450575,0.9789907735085945,0.5349269426760201,0.30286846486846486,0.7161596983683984,0.6923076923076921,-1.8040384615384617,2.540384615384614,0.0,0.0
sysucc,M2b,100,0.9026272789817682,0.8253197191359031,0.9670598682662903,0.5637065637065637,0.3856251965577379,0.6915898380727278,1.0,-0.9784090909090912,2.374999999999999,0.0,0.0
sysucc,M2b,200,0.9046395176838432,0.84600751311359,0.9497856860146444,0.5605071418265762,0.44463651840046364,0.6629783544606553,1.0,-0.26709486166007895,2.0,0.0,0.0
sysucc,M3,10,0.9022344461675005,0.5757866072881396,0.9986033519553073,0.5524475524475524,0.015589185120435126,0.8781939866147237,0.8518518518518512,-4.9245726495726485,4.340598290598289,0.024,0.0
sysucc,M3,20,0.9038868777918954,0.7129382685277501,0.9915197300601731,0.5628289308806576,0.1729895104895105,0.7881624953993375,1.0,-3.2495014245014255,3.333333333333334,0.0,0.0
sysucc,M3,30,0.9043539841043406,0.7524789377289377,0.9814285714285714,0.5622775800711743,0.2822841726618705,0.7644394627537751,1.0,-2.0392692307692304,3.094871794871793,0.0,0.0
sysucc,M3,50,0.9127905134331764,0.7993766123450575,0.9789907735085945,0.5349269426760201,0.30286846486846486,0.7161596983683984,0.6923076923076921,-1.8040384615384617,2.540384615384614,0.0,0.0
sysucc,M3,100,0.9026272789817682,0.8253197191359031,0.9670598682662903,0.5637065637065637,0.3856251965577379,0.6915898380727278,1.0,-0.9784090909090912,2.374999999999999,0.0,0.0
sysucc,M3,200,0.9046395176838432,0.84600751311359,0.9497856860146444,0.5605071418265762,0.44463651840046364,0.6629783544606553,1.0,-0.26709486166007895,2.0,0.0,0.0
